symbol,date,price
ACN,2022/02/03,343.303
AEP,2022/02/03,88.71
AIZ,2022/02/03,150.598
ALLE,2022/02/03,115.216
AMAT,2022/02/03,135.932
AMP,2022/02/03,301.773
AMZN,2022/02/03,138.846
AVB,2022/02/03,246.663
AVY,2022/02/03,191.548
AXP,2022/02/03,182.835
BDX,2022/02/03,262.227
BF-B,2022/02/03,67.664
BMY,2022/02/03,63.162
BR,2022/02/03,147.034
CARR,2022/02/03,45.87
CDW,2022/02/03,191.803
CE,2022/02/03,158.382
CHTR,2022/02/03,610.45
CNC,2022/02/03,81.53
CNP,2022/02/03,27.82
COP,2022/02/03,89.062
CTAS,2022/02/03,383.112
CZR,2022/02/03,76.36
DG,2022/02/03,204.412
DPZ,2022/02/03,441.248
DRE,2022/02/03,58.185
DXC,2022/02/03,34.91
EWA,2022/02/03,22.32
EWC,2022/02/03,37.904
EWG,2022/02/03,31.135
EWH,2022/02/03,23.398
EWJ,2022/02/03,63.107
EWL,2022/02/03,48.02
EWQ,2022/02/03,37.055
EWT,2022/02/03,64.59
EWU,2022/02/03,33.636
EWY,2022/02/03,71.98
EWZ,2022/02/03,30.273
FTV,2022/02/03,65.898
GOOG,2022/02/03,142.65
GPC,2022/02/03,130.94
GSG,2022/02/03,19.4
HIG,2022/02/03,71.416
HIGH.L,2022/02/03,5.413
HST,2022/02/03,16.991
HYG,2022/02/03,82.436
IAU,2022/02/03,34.36
ICLN,2022/02/03,18.046
IEAA.L,2022/02/03,5.216
IEF,2022/02/03,111.387
IEFM.L,2022/02/03,778.95
IEMG,2022/02/03,58.542
IEUS,2022/02/03,63.768
IEVL.L,2022/02/03,7.552
IGF,2022/02/03,46.973
INDA,2022/02/03,45.53
IUMO.L,2022/02/03,11.405
IUVL.L,2022/02/03,9.35
IVV,2022/02/03,445.726
IWM,2022/02/03,196.625
IXN,2022/02/03,58.158
JPEA.L,2022/02/03,5.769
JPM,2022/02/03,146.312
KR,2022/02/03,44.732
LQD,2022/02/03,125.26
MCHI,2022/02/03,61.683
META,2022/02/03,237.76
MVEU.L,2022/02/03,53.36
OGN,2022/02/03,32.4
PG,2022/02/03,163.224
PPL,2022/02/03,29.197
PRU,2022/02/03,110.89
PYPL,2022/02/03,124.3
RE,2022/02/03,281.909
REET,2022/02/03,28.216
ROL,2022/02/03,30.529
ROST,2022/02/03,93.694
SEGA.L,2022/02/03,107.078
SHY,2022/02/03,84.616
SLV,2022/02/03,20.71
SPMV.L,2022/02/03,80.675
TLT,2022/02/03,139.922
UNH,2022/02/03,485.596
URI,2022/02/03,324.43
V,2022/02/03,230.723
VRSK,2022/02/03,196.228
VXX,2022/02/03,21.78
WRK,2022/02/03,45.663
XLB,2022/02/03,83.562
XLC,2022/02/03,70.64
XLE,2022/02/03,66.481
XLF,2022/02/03,39.071
XLI,2022/02/03,100.43
XLK,2022/02/03,158.265
XLP,2022/02/03,75.924
XLU,2022/02/03,68.033
XLV,2022/02/03,131.822
XLY,2022/02/03,178.622
XOM,2022/02/03,78.007
ABBV,2022/02/04,138.172
ACN,2022/02/04,345.24
AEP,2022/02/04,87.707
AIZ,2022/02/04,151.858
ALLE,2022/02/04,118.332
AMAT,2022/02/04,134.996
AMP,2022/02/04,305.592
AMZN,2022/02/04,157.64
AVB,2022/02/04,243.794
AVY,2022/02/04,187.76
AXP,2022/02/04,184.633
BDX,2022/02/04,260.551
BF-B,2022/02/04,66.779
BMY,2022/02/04,64.069
BR,2022/02/04,148.51
CARR,2022/02/04,45.474
CDW,2022/02/04,191.137
CE,2022/02/04,155.053
CHTR,2022/02/04,608.92
CNC,2022/02/04,80.57
CNP,2022/02/04,27.564
COP,2022/02/04,90.042
CTAS,2022/02/04,379.859
CZR,2022/02/04,78.83
DG,2022/02/04,201.416
DPZ,2022/02/04,435.56
DRE,2022/02/04,57.076
DXC,2022/02/04,36.03
EWA,2022/02/04,22.407
EWC,2022/02/04,38.112
EWG,2022/02/04,31.048
EWH,2022/02/04,23.714
EWJ,2022/02/04,63.602
EWL,2022/02/04,47.912
EWQ,2022/02/04,37.152
EWT,2022/02/04,64.48
EWU,2022/02/04,33.547
EWY,2022/02/04,72.72
EWZ,2022/02/04,30.263
FTV,2022/02/04,64.242
GOOG,2022/02/04,143.016
GPC,2022/02/04,128.041
GSG,2022/02/04,19.67
HIG,2022/02/04,69.764
HIGH.L,2022/02/04,5.365
HST,2022/02/04,17.369
HYG,2022/02/04,82.112
IAU,2022/02/04,34.39
ICLN,2022/02/04,18.215
IEAA.L,2022/02/04,5.173
IEF,2022/02/04,110.532
IEFM.L,2022/02/04,772.6
IEMG,2022/02/04,58.72
IEUS,2022/02/04,63.411
IEVL.L,2022/02/04,7.468
IGF,2022/02/04,46.815
INDA,2022/02/04,45.38
IUMO.L,2022/02/04,11.305
IUVL.L,2022/02/04,9.162
IVV,2022/02/04,447.962
IWM,2022/02/04,197.471
IXN,2022/02/04,58.437
JPEA.L,2022/02/04,5.735
JPM,2022/02/04,150.11
KR,2022/02/04,44.394
LQD,2022/02/04,124.014
MCHI,2022/02/04,62.051
META,2022/02/04,237.09
MVEU.L,2022/02/04,52.64
OGN,2022/02/04,32.597
PG,2022/02/04,160.628
PPL,2022/02/04,28.931
PRU,2022/02/04,115.731
PYPL,2022/02/04,126.08
RE,2022/02/04,282.651
REET,2022/02/04,27.989
ROL,2022/02/04,30.261
ROST,2022/02/04,93.476
SEGA.L,2022/02/04,107.158
SHY,2022/02/04,84.447
SLV,2022/02/04,20.79
SPMV.L,2022/02/04,80.02
TLT,2022/02/04,137.86
UNH,2022/02/04,480.032
URI,2022/02/04,312.29
V,2022/02/04,227.584
VRSK,2022/02/04,197.035
VXX,2022/02/04,21
WRK,2022/02/04,44.911
XLB,2022/02/04,82.178
XLC,2022/02/04,70.819
XLE,2022/02/04,67.52
XLF,2022/02/04,39.735
XLI,2022/02/04,99.348
XLK,2022/02/04,158.902
XLP,2022/02/04,74.995
XLU,2022/02/04,67.491
XLV,2022/02/04,131.346
XLY,2022/02/04,183.703
XOM,2022/02/04,79.701
ABBV,2022/02/07,140.019
ACN,2022/02/07,341.723
AEP,2022/02/07,88.336
AIZ,2022/02/07,151.53
ALLE,2022/02/07,119.533
AMAT,2022/02/07,135.554
AMP,2022/02/07,309.37
AMZN,2022/02/07,157.936
AVB,2022/02/07,240.906
AVY,2022/02/07,179.984
AXP,2022/02/07,186.64
BDX,2022/02/07,260.958
BF-B,2022/02/07,66.809
BMY,2022/02/07,65.252
BR,2022/02/07,146.518
CARR,2022/02/07,45.354
CDW,2022/02/07,190.153
CE,2022/02/07,153.656
CHTR,2022/02/07,610.75
CNC,2022/02/07,80.79
CNP,2022/02/07,27.751
COP,2022/02/07,91.09
CTAS,2022/02/07,377.929
CZR,2022/02/07,80.75
DG,2022/02/07,199.654
DPZ,2022/02/07,431.872
DRE,2022/02/07,56.71
DXC,2022/02/07,37.33
EWA,2022/02/07,22.592
EWC,2022/02/07,38.281
EWG,2022/02/07,31.048
EWH,2022/02/07,23.773
EWJ,2022/02/07,63.642
EWL,2022/02/07,47.912
EWQ,2022/02/07,37.201
EWT,2022/02/07,64.76
EWU,2022/02/07,33.734
EWY,2022/02/07,72.96
EWZ,2022/02/07,30.617
FTV,2022/02/07,63.733
GOOG,2022/02/07,138.938
GPC,2022/02/07,126.453
GSG,2022/02/07,19.63
HIG,2022/02/07,69.477
HIGH.L,2022/02/07,5.332
HST,2022/02/07,17.747
HYG,2022/02/07,82.054
IAU,2022/02/07,34.66
ICLN,2022/02/07,18.106
IEAA.L,2022/02/07,5.154
IEF,2022/02/07,110.562
IEFM.L,2022/02/07,778.9
IEMG,2022/02/07,58.671
IEUS,2022/02/07,62.96
IEVL.L,2022/02/07,7.509
IGF,2022/02/07,46.795
INDA,2022/02/07,44.93
IUMO.L,2022/02/07,11.44
IUVL.L,2022/02/07,9.232
IVV,2022/02/07,446.372
IWM,2022/02/07,198.446
IXN,2022/02/07,58.009
JPEA.L,2022/02/07,5.728
JPM,2022/02/07,150.612
KR,2022/02/07,44.295
LQD,2022/02/07,124.242
MCHI,2022/02/07,61.624
META,2022/02/07,224.91
MVEU.L,2022/02/07,52.76
OGN,2022/02/07,32.991
PG,2022/02/07,159.425
PPL,2022/02/07,28.813
PRU,2022/02/07,116.64
PYPL,2022/02/07,121.41
RE,2022/02/07,283.412
REET,2022/02/07,27.86
ROL,2022/02/07,30.3
ROST,2022/02/07,92.672
SEGA.L,2022/02/07,106.818
SHY,2022/02/07,84.467
SLV,2022/02/07,21.27
SPMV.L,2022/02/07,80.11
TLT,2022/02/07,137.949
UNH,2022/02/07,480.559
URI,2022/02/07,315.78
V,2022/02/07,226.359
VRSK,2022/02/07,196.317
VXX,2022/02/07,20.42
WRK,2022/02/07,44.832
XLB,2022/02/07,81.772
XLC,2022/02/07,69.586
XLE,2022/02/07,68.382
XLF,2022/02/07,39.854
XLI,2022/02/07,99.428
XLK,2022/02/07,157.847
XLP,2022/02/07,75.133
XLU,2022/02/07,67.393
XLV,2022/02/07,131.118
XLY,2022/02/07,183.325
XOM,2022/02/07,80.66
ABBV,2022/02/08,140.982
ACN,2022/02/08,342.826
AEP,2022/02/08,88.72
AIZ,2022/02/08,154.804
ALLE,2022/02/08,120.783
AMAT,2022/02/08,138.162
AMP,2022/02/08,312.753
AMZN,2022/02/08,161.414
AVB,2022/02/08,237.081
AVY,2022/02/08,182.83
AXP,2022/02/08,192.73
BDX,2022/02/08,267.955
BF-B,2022/02/08,67.087
BMY,2022/02/08,64.956
BR,2022/02/08,147.44
CARR,2022/02/08,45.692
CDW,2022/02/08,193.582
CE,2022/02/08,156.807
CHTR,2022/02/08,609.12
CNC,2022/02/08,85.67
CNP,2022/02/08,27.86
COP,2022/02/08,89.513
CTAS,2022/02/08,381.59
CZR,2022/02/08,82.36
DG,2022/02/08,201.824
DPZ,2022/02/08,436.217
DRE,2022/02/08,56.493
DXC,2022/02/08,38.82
EWA,2022/02/08,23.018
EWC,2022/02/08,38.479
EWG,2022/02/08,31.164
EWH,2022/02/08,23.98
EWJ,2022/02/08,64.008
EWL,2022/02/08,47.893
EWQ,2022/02/08,37.376
EWT,2022/02/08,65.42
EWU,2022/02/08,33.881
EWY,2022/02/08,73.18
EWZ,2022/02/08,30.674
FTV,2022/02/08,65.419
GOOG,2022/02/08,139.213
GPC,2022/02/08,128.336
GSG,2022/02/08,19.41
HIG,2022/02/08,71.98
HIGH.L,2022/02/08,5.352
HST,2022/02/08,18.075
HYG,2022/02/08,81.965
IAU,2022/02/08,34.73
ICLN,2022/02/08,18.146
IEAA.L,2022/02/08,5.158
IEF,2022/02/08,110.204
IEFM.L,2022/02/08,771.2
IEMG,2022/02/08,59.175
IEUS,2022/02/08,63
IEVL.L,2022/02/08,7.569
IGF,2022/02/08,47.121
INDA,2022/02/08,45.09
IUMO.L,2022/02/08,11.415
IUVL.L,2022/02/08,9.252
IVV,2022/02/08,449.919
IWM,2022/02/08,201.831
IXN,2022/02/08,58.746
JPEA.L,2022/02/08,5.695
JPM,2022/02/08,153.445
KR,2022/02/08,45.118
LQD,2022/02/08,123.777
MCHI,2022/02/08,62.31
META,2022/02/08,220.18
MVEU.L,2022/02/08,52.68
OGN,2022/02/08,33.217
PG,2022/02/08,159.067
PPL,2022/02/08,29.049
PRU,2022/02/08,118.655
PYPL,2022/02/08,120.26
RE,2022/02/08,286.979
REET,2022/02/08,27.741
ROL,2022/02/08,30.221
ROST,2022/02/08,94.786
SEGA.L,2022/02/08,106.028
SHY,2022/02/08,84.377
SLV,2022/02/08,21.45
SPMV.L,2022/02/08,80.16
TLT,2022/02/08,137.026
UNH,2022/02/08,490.206
URI,2022/02/08,323.39
V,2022/02/08,227.136
VRSK,2022/02/08,197.473
VXX,2022/02/08,19.5
WRK,2022/02/08,46.643
XLB,2022/02/08,83.038
XLC,2022/02/08,69.556
XLE,2022/02/08,66.912
XLF,2022/02/08,40.409
XLI,2022/02/08,100.42
XLK,2022/02/08,159.798
XLP,2022/02/08,75.42
XLU,2022/02/08,67.442
XLV,2022/02/08,132.19
XLY,2022/02/08,185.905
XOM,2022/02/08,78.575
ABBV,2022/02/09,140.677
ACN,2022/02/09,353.218
AEP,2022/02/09,88.68
AIZ,2022/02/09,165.241
ALLE,2022/02/09,124.217
AMAT,2022/02/09,143.589
AMP,2022/02/09,316.561
AMZN,2022/02/09,161.19
AVB,2022/02/09,245.224
AVY,2022/02/09,187.284
AXP,2022/02/09,195.114
BDX,2022/02/09,268.682
BF-B,2022/02/09,67.585
BMY,2022/02/09,66.188
BR,2022/02/09,149.481
CARR,2022/02/09,47.596
CDW,2022/02/09,188.811
CE,2022/02/09,159.105
CHTR,2022/02/09,614.75
CNC,2022/02/09,85.95
CNP,2022/02/09,27.919
COP,2022/02/09,91.1
CTAS,2022/02/09,389.569
CZR,2022/02/09,86.87
DG,2022/02/09,204.83
DPZ,2022/02/09,442.212
DRE,2022/02/09,57.927
DXC,2022/02/09,38.63
EWA,2022/02/09,23.387
EWC,2022/02/09,38.996
EWG,2022/02/09,31.669
EWH,2022/02/09,24.206
EWJ,2022/02/09,64.89
EWL,2022/02/09,48.746
EWQ,2022/02/09,38.027
EWT,2022/02/09,66.25
EWU,2022/02/09,34.146
EWY,2022/02/09,74.5
EWZ,2022/02/09,30.779
FTV,2022/02/09,66.327
GOOG,2022/02/09,141.453
GPC,2022/02/09,130.289
GSG,2022/02/09,19.63
HIG,2022/02/09,72.237
HIGH.L,2022/02/09,5.378
HST,2022/02/09,18.354
HYG,2022/02/09,82.397
IAU,2022/02/09,34.87
ICLN,2022/02/09,18.801
IEAA.L,2022/02/09,5.173
IEF,2022/02/09,110.354
IEFM.L,2022/02/09,791.45
IEMG,2022/02/09,60.084
IEUS,2022/02/09,64.586
IEVL.L,2022/02/09,7.688
IGF,2022/02/09,47.801
INDA,2022/02/09,45.68
IUMO.L,2022/02/09,11.705
IUVL.L,2022/02/09,9.408
IVV,2022/02/09,456.556
IWM,2022/02/09,205.663
IXN,2022/02/09,60.022
JPEA.L,2022/02/09,5.734
JPM,2022/02/09,154.085
KR,2022/02/09,44.771
LQD,2022/02/09,124.192
MCHI,2022/02/09,63.682
META,2022/02/09,232
MVEU.L,2022/02/09,53.19
OGN,2022/02/09,34.044
PG,2022/02/09,158.709
PPL,2022/02/09,29.049
PRU,2022/02/09,118.518
PYPL,2022/02/09,122.94
RE,2022/02/09,285.744
REET,2022/02/09,28.315
ROL,2022/02/09,31.258
ROST,2022/02/09,96.712
SEGA.L,2022/02/09,106.608
SHY,2022/02/09,84.367
SLV,2022/02/09,21.53
SPMV.L,2022/02/09,81.13
TLT,2022/02/09,137.284
UNH,2022/02/09,494.866
URI,2022/02/09,334.19
V,2022/02/09,230.056
VRSK,2022/02/09,198.34
VXX,2022/02/09,18.71
WRK,2022/02/09,46.92
XLB,2022/02/09,84.847
XLC,2022/02/09,71.516
XLE,2022/02/09,67.47
XLF,2022/02/09,40.667
XLI,2022/02/09,101.799
XLK,2022/02/09,163.343
XLP,2022/02/09,75.44
XLU,2022/02/09,67.738
XLV,2022/02/09,133.212
XLY,2022/02/09,188.366
XOM,2022/02/09,78.199
ABBV,2022/02/10,140.196
ACN,2022/02/10,340.164
AEP,2022/02/10,86.706
AIZ,2022/02/10,161.282
ALLE,2022/02/10,119.761
AMAT,2022/02/10,139.178
AMP,2022/02/10,314.441
AMZN,2022/02/10,159.004
AVB,2022/02/10,238.57
AVY,2022/02/10,185.211
AXP,2022/02/10,194.23
BDX,2022/02/10,263.545
BF-B,2022/02/10,66.908
BMY,2022/02/10,65.567
BR,2022/02/10,145.111
CARR,2022/02/10,46.773
CDW,2022/02/10,182.261
CE,2022/02/10,158.53
CHTR,2022/02/10,606.52
CNC,2022/02/10,84.15
CNP,2022/02/10,27.297
COP,2022/02/10,90.081
CTAS,2022/02/10,379.7
CZR,2022/02/10,86.49
DG,2022/02/10,201.157
DPZ,2022/02/10,436.068
DRE,2022/02/10,55.364
DXC,2022/02/10,37.81
EWA,2022/02/10,23.173
EWC,2022/02/10,38.638
EWG,2022/02/10,31.31
EWH,2022/02/10,24.108
EWJ,2022/02/10,63.86
EWL,2022/02/10,48.03
EWQ,2022/02/10,37.454
EWT,2022/02/10,65.95
EWU,2022/02/10,34.009
EWY,2022/02/10,73.64
EWZ,2022/02/10,30.98
FTV,2022/02/10,65.609
GOOG,2022/02/10,138.602
GPC,2022/02/10,125.644
GSG,2022/02/10,19.5
HIG,2022/02/10,72.178
HIGH.L,2022/02/10,5.366
HST,2022/02/10,18.443
HYG,2022/02/10,81.309
IAU,2022/02/10,34.73
ICLN,2022/02/10,18.324
IEAA.L,2022/02/10,5.153
IEF,2022/02/10,109.34
IEFM.L,2022/02/10,786.6
IEMG,2022/02/10,59.659
IEUS,2022/02/10,63.695
IEVL.L,2022/02/10,7.706
IGF,2022/02/10,47.298
INDA,2022/02/10,45.06
IUMO.L,2022/02/10,11.745
IUVL.L,2022/02/10,9.432
IVV,2022/02/10,448.488
IWM,2022/02/10,202.508
IXN,2022/02/10,58.527
JPEA.L,2022/02/10,5.699
JPM,2022/02/10,153.445
KR,2022/02/10,44.791
LQD,2022/02/10,122.502
MCHI,2022/02/10,63.145
META,2022/02/10,228.07
MVEU.L,2022/02/10,53.025
OGN,2022/02/10,33.906
PG,2022/02/10,156.293
PPL,2022/02/10,28.331
PRU,2022/02/10,118.704
PYPL,2022/02/10,119.02
RE,2022/02/10,288.037
REET,2022/02/10,27.89
ROL,2022/02/10,30.839
ROST,2022/02/10,95.868
SEGA.L,2022/02/10,105.768
SHY,2022/02/10,83.938
SLV,2022/02/10,21.42
SPMV.L,2022/02/10,80.33
TLT,2022/02/10,135.102
UNH,2022/02/10,483.56
URI,2022/02/10,325.68
V,2022/02/10,225.16
VRSK,2022/02/10,193.986
VXX,2022/02/10,20.46
WRK,2022/02/10,46.443
XLB,2022/02/10,84.353
XLC,2022/02/10,70.491
XLE,2022/02/10,67.049
XLF,2022/02/10,40.31
XLI,2022/02/10,100.132
XLK,2022/02/10,159.071
XLP,2022/02/10,74.629
XLU,2022/02/10,66.023
XLV,2022/02/10,131.127
XLY,2022/02/10,185.118
XOM,2022/02/10,77.447
ABBV,2022/02/11,139.508
ACN,2022/02/11,327.039
AEP,2022/02/11,86.964
AIZ,2022/02/11,160.648
ALLE,2022/02/11,117.955
AMAT,2022/02/11,131.929
AMP,2022/02/11,302.596
AMZN,2022/02/11,153.294
AVB,2022/02/11,237.258
AVY,2022/02/11,181.987
AXP,2022/02/11,190.554
